=== PSP Recomp Engine ===
Jogo: God of War: Chains of Olympus

[MEM] 32 MB de memória alocados
[TRACE] Executando bloco: 0x08803BA4 | RA: 0xFFFFFFFF
[TRACE] Executando bloco: 0x08B01DF4 | RA: 0x08803BD8
[TRACE] Executando bloco: 0x08803BD8 | RA: 0x08803BD8
[TRACE] Executando bloco: 0x08B01E14 | RA: 0x08803BE4
[SYSCALL NÃO IMPLEMENTADA] sceKernelSetCompiledSdkVersion_2 | a0=0x00030306 a1=0x09FFEF00
[TRACE] Executando bloco: 0x08803BE4 | RA: 0x08803BE4
[TRACE] Executando bloco: 0x08803C18 | RA: 0x08803BE4
[TRACE] Executando bloco: 0x08803CAC | RA: 0x08803BE4
[TRACE] Executando bloco: 0x08803C24 | RA: 0x08803BE4
[TRACE] Executando bloco: 0x08803C38 | RA: 0x08803BE4
[TRACE] Executando bloco: 0x08803C50 | RA: 0x08803BE4
[TRACE] Executando bloco: 0x08803C6C | RA: 0x08803BE4
[TRACE] Executando bloco: 0x08B01D64 | RA: 0x08803C7C
[TRACE] Executando bloco: 0x08803C7C | RA: 0x08803C7C
[TRACE] Executando bloco: 0x08B01D14 | RA: 0x08803C8C
[SCHEDULER] Thread 1 ('libc:%s: should be called from main thread
') marcada para iniciar.
[TRACE] Executando bloco: 0x08803CB8 | RA: 0x0FFFFFFF
[TRACE] Executando bloco: 0x08803CBC | RA: 0x0FFFFFFF
[TRACE] Executando bloco: 0x08803CFC | RA: 0x0FFFFFFF
[TRACE] Executando bloco: 0x088039D4 | RA: 0x08803D04
[TRACE] Executando bloco: 0x08803A6C | RA: 0x08803D04
[TRACE] Executando bloco: 0x08803A70 | RA: 0x08803D04
[TRACE] Executando bloco: 0x08803AAC | RA: 0x08803D04
[TRACE] Executando bloco: 0x08803AB0 | RA: 0x08803D04
[TRACE] Executando bloco: 0x08803D04 | RA: 0x08803D04
[TRACE] Executando bloco: 0x08803D08 | RA: 0x08803D04
[TRACE] Executando bloco: 0x08803D48 | RA: 0x08803D04
[TRACE] Executando bloco: 0x08803E18 | RA: 0x08803D04
[TRACE] Executando bloco: 0x08803E40 | RA: 0x08803D04
[TRACE] Executando bloco: 0x08803E94 | RA: 0x08803D04
[TRACE] Executando bloco: 0x08805894 | RA: 0x08803F74
[TRACE] Executando bloco: 0x08805930 | RA: 0x08803F74
[TRACE] Executando bloco: 0x08805734 | RA: 0x08803F74
[TRACE] Executando bloco: 0x08805848 | RA: 0x08803F74
[TRACE] Executando bloco: 0x08806EC4 | RA: 0x08805850
[TRACE] Executando bloco: 0x08806F98 | RA: 0x08805850
[TRACE] Executando bloco: 0x08806FF8 | RA: 0x08805850
