Syscall Code,Frequency
0x00D59,131
0x00D4F,108
0x00D48,103
0x02EC6,41
0x09F24,25
0x09F25,20
0x09F23,18
0x09F22,18
0x00D3E,14
0x00000,13
0x09F43,8
0x05462,8
0x010F3,7
0xBA92C,4
0x0BD17,4
0x0885C,4
0x040F8,4
0x016D2,4
0x00003,4
0x00002,4
0x00001,4
0x09633,3
0x06632,3
0x06622,3
0x04E81,3
0x00DCB,3
0x00DB6,3
0x00181,3
0xEA9ED,2
0x3D489,2
0x2B9F0,2
0x23A11,2
0x0BD9D,2
0x0B2DE,2
0x0995B,2
0x09924,2
0x098ED,2
0x098B6,2
0x08850,2
0x06C04,2
0x05961,2
0x052EF,2
0x05108,2
0x049CF,2
0x02B61,2
0x0237F,2
0x021C5,2
0x021C2,2
0x018FB,2
0x01572,2
0x01473,2
0x01472,2
0x00F40,2
0x00BF0,2
0x0039A,2
0x00236,2
0x00110,2
0x0008D,2
0x00075,2
0xE9B88,1
0xA0815,1
0x68203,1
0x5DA08,1
0x3F272,1
0x3E9CF,1
0x3D388,1
0x3CF8F,1
0x3A907,1
0x3855A,1
0x32E24,1
0x28F4F,1
0x19D58,1
0x17450,1
0x16661,1
0x15747,1
0x13D19,1
0x119AA,1
0x11542,1
0x0FFFF,1
0x0D0FB,1
0x0CBBD,1
0x0CA84,1
0x0CA61,1
0x0CA1A,1
0x0C9B6,1
0x0C144,1
0x0C095,1
0x0C06E,1
0x0C06A,1
0x0C069,1
0x0BFD0,1
0x0BEA1,1
0x0BE9E,1
0x0BE97,1
0x0BE87,1
0x0BE70,1
0x0BE67,1
0x0BE4D,1
0x0BE40,1
0x0BE28,1
0x0BE1E,1
0x0BDF7,1
0x0BDEE,1
0x0BDC4,1
0x0BDBB,1
0x0BD64,1
0x0BD4A,1
0x0BD41,1
0x0BB3A,1
0x0BAE1,1
0x0BAD7,1
0x0BAC9,1
0x0BAC6,1
0x0BABF,1
0x0BA77,1
0x0B7C6,1
0x0B74E,1
0x0B644,1
0x0B641,1
0x0B63B,1
0x0B624,1
0x0B5C6,1
0x0B5AD,1
0x0B5A4,1
0x0B588,1
0x0B53E,1
0x0B504,1
0x0B502,1
0x0B495,1
0x0B449,1
0x0B42F,1
0x0B427,1
0x0B39C,1
0x0B396,1
0x0B374,1
0x0B364,1
0x0B355,1
0x0B338,1
0x0B32A,1
0x0B2EB,1
0x0B2B4,1
0x0B2A4,1
0x0B27B,1
0x0B273,1
0x0B25B,1
0x0B20B,1
0x0B1A4,1
0x0B16D,1
0x0B138,1
0x0B103,1
0x0B0D9,1
0x0B0BA,1
0x0B068,1
0x0B028,1
0x0AFE4,1
0x0AFA7,1
0x0AEBA,1
0x0AE42,1
0x0AE3F,1
0x0AE36,1
0x0AE1F,1
0x0ADFE,1
0x0ADEB,1
0x0ADBA,1
0x0ADA8,1
0x0ADA3,1
0x0ACE2,1
0x0ACCA,1
0x0ACBB,1
0x0AC98,1
0x0AC5B,1
0x0AC2B,1
0x0ABD5,1
0x0AB48,1
0x0AB32,1
0x0AB0A,1
0x0AB01,1
0x0AAF8,1
0x0AAE5,1
0x0AAA9,1
0x0AA98,1
0x0AA27,1
0x0A9DA,1
0x0A946,1
0x0A931,1
0x0A928,1
0x0A8FB,1
0x0A8E3,1
0x0A8C0,1
0x0A8B2,1
0x0A85D,1
0x0A854,1
0x0A83F,1
0x0A826,1
0x0A7D0,1
0x0A7AD,1
0x0A793,1
0x0A781,1
0x0A77C,1
0x0A753,1
0x0A748,1
0x0A72C,1
0x0A71F,1
0x0A70D,1
0x0A684,1
0x0A66A,1
0x0A667,1
0x0A661,1
0x0A654,1
0x0A64B,1
0x0A607,1
0x0A5DE,1
0x0A5C8,1
0x0A59C,1
0x0A592,1
0x0A559,1
0x0A533,1
0x0A4D8,1
0x0A4A4,1
0x0A477,1
0x0A42E,1
0x0A425,1
0x0A3F0,1
0x0A3E7,1
0x0A3D8,1
0x0A3CE,1
0x0A3B7,1
0x0A3AE,1
0x0A375,1
0x0A36C,1
0x0A313,1
0x0A304,1
0x0A301,1
0x0A2FB,1
0x0A28C,1
0x0A274,1
0x0A25D,1
0x0A20E,1
0x0A205,1
0x0A1F4,1
0x0A1D5,1
0x0A18C,1
0x0A173,1
0x0A10C,1
0x0A0FF,1
0x0A0F2,1
0x0A0DB,1
0x09FC8,1
0x09F5D,1
0x09F50,1
0x09F12,1
0x09EDF,1
0x09EAA,1
0x09E7C,1
0x09E27,1
0x09DEC,1
0x09BCE,1
0x09B6F,1
0x09877,1
0x0978A,1
0x09772,1
0x09699,1
0x09677,1
0x09601,1
0x095E9,1
0x095E4,1
0x095D4,1
0x095CF,1
0x09572,1
0x0955F,1
0x0954B,1
0x0951C,1
0x09517,1
0x09512,1
0x09509,1
0x094D5,1
0x094D0,1
0x094BB,1
0x09460,1
0x091E8,1
0x091AD,1
0x08FBC,1
0x08F89,1
0x08F73,1
0x08F57,1
0x08F41,1
0x08F25,1
0x08EFE,1
0x08EAA,1
0x08E8F,1
0x08E6C,1
0x08E5E,1
0x08E53,1
0x08E37,1
0x08E20,1
0x08C22,1
0x08AAF,1
0x089AE,1
0x08916,1
0x08857,1
0x08801,1
0x087DB,1
0x08759,1
0x08753,1
0x08748,1
0x08731,1
0x0871C,1
0x086DB,1
0x086D3,1
0x0862A,1
0x08627,1
0x0861A,1
0x08618,1
0x085F0,1
0x085EA,1
0x08480,1
0x0847F,1
0x08469,1
0x08449,1
0x0835C,1
0x08356,1
0x08325,1
0x08105,1
0x07DF2,1
0x07A8C,1
0x0785C,1
0x07832,1
0x07826,1
0x07819,1
0x0778B,1
0x0766B,1
0x07344,1
0x071A4,1
0x0716C,1
0x06CBC,1
0x06CB5,1
0x06CB4,1
0x06CA7,1
0x06CA6,1
0x06CA5,1
0x06C9F,1
0x06C9A,1
0x06C92,1
0x06C8B,1
0x06C85,1
0x06C84,1
0x06C7C,1
0x06C72,1
0x06C6B,1
0x06C60,1
0x06C42,1
0x06C33,1
0x06C32,1
0x06C25,1
0x06C23,1
0x06C22,1
0x06C0D,1
0x06C0B,1
0x06C0A,1
0x06BF1,1
0x06BF0,1
0x06BE9,1
0x06BE3,1
0x06BD3,1
0x06BB7,1
0x06BAB,1
0x06BA5,1
0x06BA4,1
0x06B77,1
0x06B6E,1
0x06B4B,1
0x06AFB,1
0x06AF2,1
0x0677F,1
0x06707,1
0x066B3,1
0x0664F,1
0x06594,1
0x06516,1
0x064DA,1
0x064D5,1
0x064CA,1
0x064BE,1
0x064AA,1
0x064A9,1
0x064A8,1
0x062DF,1
0x062D0,1
0x062B4,1
0x0628C,1
0x0625A,1
0x06215,1
0x05D7C,1
0x05C53,1
0x05C52,1
0x05BD2,1
0x05B87,1
0x05B4B,1
0x05AEC,1
0x05ADD,1
0x05AAE,1
0x05A49,1
0x05A3F,1
0x05A3E,1
0x059C2,1
0x05984,1
0x0595A,1
0x058C5,1
0x058BF,1
0x05875,1
0x05874,1
0x057FF,1
0x05702,1
0x056C7,1
0x056A3,1
0x05687,1
0x05644,1
0x05638,1
0x0562C,1
0x0561C,1
0x0560D,1
0x055FB,1
0x0552F,1
0x0546B,1
0x0546A,1
0x05409,1
0x053E8,1
0x053BE,1
0x052ED,1
0x052DF,1
0x051A7,1
0x050ED,1
0x050A9,1
0x050A4,1
0x04F77,1
0x04F54,1
0x04F46,1
0x04F29,1
0x04EDE,1
0x04ED2,1
0x04E02,1
0x04DDD,1
0x04DB5,1
0x04DAC,1
0x04D8C,1
0x04D77,1
0x04C91,1
0x04C86,1
0x04C6C,1
0x04BE9,1
0x04BA0,1
0x04B1A,1
0x049C6,1
0x049BB,1
0x049B6,1
0x049B5,1
0x0496E,1
0x048F6,1
0x048F2,1
0x048DD,1
0x0472A,1
0x046C9,1
0x04534,1
0x0450A,1
0x044E9,1
0x043F6,1
0x04369,1
0x040FC,1
0x03497,1
0x033B1,1
0x0332F,1
0x03028,1
0x02FCF,1
0x02EDF,1
0x02E34,1
0x02E33,1
0x02DB8,1
0x02D6B,1
0x02D58,1
0x02D3B,1
0x02C8B,1
0x02C2C,1
0x02BED,1
0x02BD8,1
0x02B79,1
0x02B52,1
0x02B4C,1
0x02B32,1
0x02B2B,1
0x02AA0,1
0x02A5F,1
0x02A34,1
0x02A2F,1
0x02A11,1
0x02A00,1
0x029E1,1
0x029DB,1
0x029B0,1
0x029A2,1
0x029A1,1
0x0295C,1
0x028A1,1
0x02863,1
0x0284D,1
0x0283C,1
0x027F7,1
0x02798,1
0x0277C,1
0x0276E,1
0x02737,1
0x026DE,1
0x026DD,1
0x0259B,1
0x024F8,1
0x02472,1
0x023DB,1
0x023A9,1
0x02356,1
0x022F2,1
0x02269,1
0x02206,1
0x02201,1
0x021A0,1
0x0213C,1
0x02048,1
0x0203A,1
0x01FB1,1
0x01FA4,1
0x01F93,1
0x01F55,1
0x01F05,1
0x01EF9,1
0x01EF7,1
0x01ED1,1
0x01EBC,1
0x01E73,1
0x01E4D,1
0x01E4C,1
0x01D3D,1
0x01D3C,1
0x01D1E,1
0x01CF8,1
0x01CC0,1
0x01C60,1
0x01ACD,1
0x01ACC,1
0x01AC6,1
0x01A6E,1
0x01A4B,1
0x01A4A,1
0x01A3C,1
0x019E0,1
0x0199E,1
0x01996,1
0x0198D,1
0x0198B,1
0x018FD,1
0x018DC,1
0x0185D,1
0x0185C,1
0x01829,1
0x01827,1
0x017D6,1
0x0176C,1
0x01742,1
0x0170C,1
0x0170B,1
0x016CA,1
0x016C9,1
0x016B3,1
0x01692,1
0x01678,1
0x01673,1
0x0166E,1
0x01660,1
0x0165E,1
0x015DD,1
0x015DC,1
0x015A7,1
0x0159A,1
0x01573,1
0x01545,1
0x01522,1
0x0151D,1
0x01504,1
0x014B4,1
0x01390,1
0x01375,1
0x0133E,1
0x01237,1
0x01230,1
0x0108D,1
0x00FC1,1
0x00F70,1
0x00EFB,1
0x00D64,1
0x00D15,1
0x00BB4,1
0x00ADF,1
0x0088F,1
0x0001E,1
0x0001D,1
0x001A2,1
0x0018F,1
0x00181,1
0x00110,1
0x00106,1
0x00103,1
0x000F0,1
0x000AE,1
0x0008D,1
